"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206292_s_at",-1.84520986666666,11.7996915757576,-4.60694246987705,0.000640756149826523,0.0173010286888083,-0.359885941355865
"201852_x_at",2.52604411111109,10.3157897575758,4.60681009406251,0.00064090050751483,0.0173010286888083,-0.360113510677023
"228844_at",-2.51563426666668,10.3394732121212,-4.60331174056808,0.000644727861126322,0.0173626817427919,-0.366128370607503
"221477_s_at",1.28423333333334,12.2961624242424,4.59880806770458,0.000649690294920722,0.0174509543920455,-0.373873944609918
"214890_s_at",-1.03970542222222,7.52776684848485,-4.59583001891394,0.000652993618764585,0.0175127099144426,-0.378997072630601
"227533_at",-1.07103565555556,7.53125333333333,-4.59448737714918,0.000654488647664909,0.0175325052450667,-0.381307172829477
"223136_at",-1.15341566666664,11.1085051515152,-4.59254237693872,0.00065666075088661,0.0175791945722645,-0.384654062941709
"202441_at",-1.11476653333333,10.5036879393939,-4.59073912329123,0.000658681289316494,0.0176217680791079,-0.387757456653421
"206226_at",-1.07820355555557,14.3810696969697,-4.5902221313768,0.000659261774629937,0.0176257852657099,-0.388647271905666
"209283_at",1.14083546666667,7.61946090909091,4.58897229893633,0.000660667313068551,0.01765184114545,-0.39079854386214
"227099_s_at",2.44056555555558,10.0396044242424,4.58744408570906,0.000662390171140754,0.017668344930981,-0.393429239364433
"205892_s_at",-1.3726908888889,13.4615084848485,-4.58709461738165,0.000662784809766769,0.017668344930981,-0.394030861171958
"222662_at",-1.73334986666665,9.80038303030302,-4.5866960049554,0.000663235244632852,0.017668344930981,-0.394717104570852
"210130_s_at",-1.37112846666666,8.07722412121212,-4.58651326912081,0.000663441844377273,0.017668344930981,-0.395031705556995
"203817_at",1.07372126666667,7.51516078787879,4.58491440520925,0.000665252379529876,0.0176935533851715,-0.397784510676812
